answer_id,question_id,arm,question_type,question_text,reference_answer,answer_text,retrieved_chunk_ids,cited_chunk_ids,automated_token_f1,automated_exact_match,manual_correctness_0_to_2,manual_groundedness_0_to_2,manual_completeness_0_to_2,manual_notes
6-rag-dense,6,rag_dense,factoid,"Which Badge prop caps large numeric values, and what value does it cap at by default?","The max prop caps large numeric Badge values, and its default value is 99.","[1] Badge component's `max` prop caps large numeric values at a default value of [4] Rating component's `max` prop. However, since the question asks specifically about the Badge component, the default value is [4] Rating component's `max` prop, which is 5.","[""prose__badges__chunk_0006"", ""api__badge__chunk_0001"", ""prose__badges__chunk_0005"", ""api__rating__chunk_0001"", ""prose__badges__chunk_0003""]","[""prose__badges__chunk_0006"", ""api__rating__chunk_0001""]",0.423076923076923,False,2,1,2,"Correct answer, but includes an unrelated Rating API citation."
6-rag-bm25,6,rag_bm25,factoid,"Which Badge prop caps large numeric values, and what value does it cap at by default?","The max prop caps large numeric Badge values, and its default value is 99.",I don't know,"[""prose__badges__chunk_0005"", ""prose__badges__chunk_0006"", ""prose__avatars__chunk_0011"", ""prose__palette__chunk_0008"", ""prose__text-fields__chunk_0022""]",[],0.0,False,0,2,0,Appropriately refuses because the required gold chunk was not retrieved.
7-naive,7,naive,factoid,"Which prop limits how many avatars an AvatarGroup shows, and what is its default value?","The max prop limits how many avatars an AvatarGroup shows, and its default value is 5.","The prop that limits how many avatars an AvatarGroup shows is `count`, and its default value is 3.",[],[],0.823529411764706,False,0,0,0,Incorrect prop and default value.
7-rag-dense,7,rag_dense,factoid,"Which prop limits how many avatars an AvatarGroup shows, and what is its default value?","The max prop limits how many avatars an AvatarGroup shows, and its default value is 5.","Prop `max` limits how many avatars an AvatarGroup shows, and its default value is [1].","[""api__avatar-group__chunk_0001"", ""prose__avatars__chunk_0008"", ""prose__avatars__chunk_0007"", ""prose__avatars__chunk_0009"", ""prose__avatars__chunk_0011""]","[""api__avatar-group__chunk_0001""]",0.9333333333333333,False,2,2,2,"Correct prop, correct default, and supported by the cited gold chunk."
7-rag-bm25,7,rag_bm25,factoid,"Which prop limits how many avatars an AvatarGroup shows, and what is its default value?","The max prop limits how many avatars an AvatarGroup shows, and its default value is 5.",I don't know,"[""prose__avatars__chunk_0008"", ""prose__avatars__chunk_0007"", ""prose__v5-component-changes__chunk_0019"", ""prose__api__chunk_0008"", ""prose__dividers__chunk_0010""]",[],0.0,False,0,2,0,Appropriately refuses because the required API chunk was not retrieved.
8-naive,8,naive,multi-hop,"Which Rating prop sets the minimum increment the value can change by, and what is that prop's default?","The precision prop sets the minimum increment by which the Rating value can change, and its default value is 1.","The prop that sets the minimum increment the value can change by is `step`, and its default value is 0.1.",[],[],0.8292682926829269,False,0,0,0,Incorrectly gives step with a default of 0.1.
8-rag-dense,8,rag_dense,multi-hop,"Which Rating prop sets the minimum increment the value can change by, and what is that prop's default?","The precision prop sets the minimum increment by which the Rating value can change, and its default value is 1.",Prop `precision` sets the minimum increment the value can change by [2][3]. The default is 1 [2][3].,"[""api__rating__chunk_0001"", ""prose__rating__chunk_0002"", ""prose__rating__chunk_0003"", ""prose__rating__chunk_0004"", ""prose__rating__chunk_0009""]","[""prose__rating__chunk_0002"", ""prose__rating__chunk_0003""]",0.8571428571428571,False,2,1,2,"Correct and complete, but the default is not cited from the designated API gold chunk."
8-rag-bm25,8,rag_bm25,multi-hop,"Which Rating prop sets the minimum increment the value can change by, and what is that prop's default?","The precision prop sets the minimum increment by which the Rating value can change, and its default value is 1.",I don't know,"[""prose__rating__chunk_0002"", ""prose__rating__chunk_0003"", ""prose__slider__chunk_0005"", ""prose__slider__chunk_0004"", ""prose__v5-component-changes__chunk_0116""]",[],0.0,False,0,2,0,Appropriately refuses because the complete multi-hop evidence was not retrieved.
9-naive,9,naive,multi-hop,"Which Slider prop controls stepping with Page Up/Down or Shift plus arrow keys, and what is its default compared to the default step?","The shiftStep prop controls stepping with Page Up/Down or Shift plus the arrow keys. It defaults to 10, while the normal step prop defaults to 1, so the default shiftStep is ten times larger.","The prop that controls stepping with Page Up/Down or Shift plus arrow keys in a Slider from Material-UI is `step`. Its default value is 1, whereas the default step size is also 1 unless specified otherwise.",[],[],0.4931506849315068,False,0,0,0,Incorrectly identifies step instead of shiftStep and misses the default comparison.
9-rag-dense,9,rag_dense,multi-hop,"Which Slider prop controls stepping with Page Up/Down or Shift plus arrow keys, and what is its default compared to the default step?","The shiftStep prop controls stepping with Page Up/Down or Shift plus the arrow keys. It defaults to 10, while the normal step prop defaults to 1, so the default shiftStep is ten times larger.","Prop `shiftStep` controls stepping with Page Up/Down or Shift plus arrow keys [1]. Its default is 10, which differs from the default step of 1 [1].","[""api__slider__chunk_0001"", ""api__stepper__chunk_0001"", ""api__mobile-stepper__chunk_0001"", ""api__pagination__chunk_0001"", ""api__slide__chunk_0001""]","[""api__slider__chunk_0001""]",0.6333333333333332,False,2,2,2,"Correct prop, defaults, and comparison, supported by the cited API passage."
9-rag-bm25,9,rag_bm25,multi-hop,"Which Slider prop controls stepping with Page Up/Down or Shift plus arrow keys, and what is its default compared to the default step?","The shiftStep prop controls stepping with Page Up/Down or Shift plus the arrow keys. It defaults to 10, while the normal step prop defaults to 1, so the default shiftStep is ten times larger.",The `shiftStep` prop controls stepping with Page Up/Down or Shift + Arrow Up/Down keys [1]. Its default value should be divisible by the `step` [1].,"[""prose__slider__chunk_0004"", ""prose__slider__chunk_0005"", ""prose__upgrade-to-v9__chunk_0020"", ""prose__upgrade-to-v9__chunk_0021"", ""prose__palette__chunk_0009""]","[""prose__slider__chunk_0004""]",0.5423728813559322,False,1,2,1,Correctly identifies shiftStep and its behavior but omits the defaults 10 and 1.
10-naive,10,naive,multi-hop,"Masonry orders its children by row. Which component should I use instead to order images by column, and what determines the container heights there?",Use an ImageList configured as a masonry image list to order images by column. Its container heights are dynamically sized to reflect the aspect ratio of each image.,"For ordering images in a column layout, you should use the `Grid` component from Material-UI. The container heights are determined by the `auto` or `fill` properties of the `Grid` item or the `Grid` itself, ensuring that items expand to fill available space.",[],[],0.3098591549295775,False,0,0,0,Incorrectly recommends Grid and gives unsupported height behavior.
10-rag-dense,10,rag_dense,multi-hop,"Masonry orders its children by row. Which component should I use instead to order images by column, and what determines the container heights there?",Use an ImageList configured as a masonry image list to order images by column. Its container heights are dynamically sized to reflect the aspect ratio of each image.,"To order images by column, check out [ImageList](/material-ui/react-image-list/#masonry-image-list) [1].

The container heights in the component determining images by column are not explicitly mentioned, but typically, such a layout would have images arranged in columns rather than rows. The specific behavior regarding container heights would depend on how the `ImageList` component handles the images within columns. [2]","[""prose__masonry__chunk_0003"", ""prose__masonry__chunk_0002"", ""prose__masonry__chunk_0001"", ""prose__masonry__chunk_0004"", ""prose__masonry__chunk_0006""]","[""prose__masonry__chunk_0003"", ""prose__masonry__chunk_0002""]",0.33333333333333337,False,0,2,0,Appropriately refuses because both required chunks were not retrieved.
10-rag-bm25,10,rag_bm25,multi-hop,"Masonry orders its children by row. Which component should I use instead to order images by column, and what determines the container heights there?",Use an ImageList configured as a masonry image list to order images by column. Its container heights are dynamically sized to reflect the aspect ratio of each image.,"To order images by column, you should use [ImageList](/material-ui/react-image-list/#masonry-image-list) [2]. The container heights in this case are determined by the images' dimensions, as `Masonry` orders its children by row by default. To change this behavior, you need to use [ImageList](/material-ui/react-image-list/#masonry-image-list) which orders images by column.","[""prose__masonry__chunk_0002"", ""prose__masonry__chunk_0003"", ""prose__masonry__chunk_0001"", ""prose__grid__chunk_0012"", ""prose__table__chunk_0002""]","[""prose__masonry__chunk_0003""]",0.4090909090909091,False,1,1,1,Identifies ImageList but gives an imprecise explanation of height and cites a neighboring chunk.
11-naive,11,naive,unanswerable,What does the type prop do in the Card MUI component?,I don't know,"The type prop in the Card MUI component is used to specify the content type, such as 'standard', 'outlined', or 'elevation'.",[],[],0.0,False,0,0,0,Hallucinates unsupported Card type prop behavior.
11-rag-dense,11,rag_dense,unanswerable,What does the type prop do in the Card MUI component?,I don't know,"The type prop does not appear to have a specific definition in the provided passages for the Material UI Card component. [1],[2]","[""prose__cards__chunk_0002"", ""prose__cards__chunk_0001"", ""api__card-header__chunk_0001"", ""api__card-media__chunk_0001"", ""api__card-content__chunk_0001""]","[""prose__cards__chunk_0002"", ""prose__cards__chunk_0001""]",0.0,False,1,2,1,"Correctly indicates the answer is unavailable, but does not use the required exact I don't know fallback."
11-rag-bm25,11,rag_bm25,unanswerable,What does the type prop do in the Card MUI component?,I don't know,I don't know,"[""api__card__chunk_0001"", ""prose__v5-style-changes__chunk_0011"", ""prose__v5-style-changes__chunk_0012"", ""prose__cards__chunk_0008"", ""prose__cards__chunk_0002""]",[],1.0,True,2,2,2,Correct exact refusal for an unanswerable question.
12-naive,12,naive,unanswerable,How do I use the TreeView MUI component?,I don't know,"To use the TreeView MUI component, you typically import it from `@mui/x-treeview` and use it in your component's JSX, configuring props like `expanded`, `defaultExpanded`, `defaultSelected`, and `selected`. You can also customize nodes with `TreeItem` components.",[],[],0.0,False,0,0,0,Provides unsupported TreeView usage instructions.
12-rag-dense,12,rag_dense,unanswerable,How do I use the TreeView MUI component?,I don't know,I don't know,"[""prose__dashboard__README__chunk_0002"", ""prose__dashboard__README__chunk_0001"", ""prose__lists__chunk_0003"", ""prose__lists__chunk_0002"", ""prose__lists__chunk_0004""]",[],1.0,True,2,2,2,Correct exact refusal for an unanswerable question.
12-rag-bm25,12,rag_bm25,unanswerable,How do I use the TreeView MUI component?,I don't know,I don't know,"[""prose__faq__chunk_0014"", ""prose__faq__chunk_0007"", ""prose__faq__chunk_0013"", ""prose__faq__chunk_0008"", ""prose__faq__chunk_0006""]",[],1.0,True,2,2,2,Correct exact refusal for an unanswerable question.
13-naive,13,naive,unanswerable,"The MUI Button component comes with four variants: text, contained, outlined, and one other. What is this fourth variant?",I don't know,The fourth variant of the MUI Button component is rounded.,[],[],0.0,False,0,0,0,Invents rounded as a fourth Button variant.
13-rag-dense,13,rag_dense,unanswerable,"The MUI Button component comes with four variants: text, contained, outlined, and one other. What is this fourth variant?",I don't know,I don't know,"[""prose__buttons__chunk_0002"", ""prose__buttons__chunk_0004"", ""prose__buttons__chunk_0003"", ""prose__buttons__chunk_0018"", ""prose__buttons__chunk_0001""]",[],1.0,True,2,2,2,Correct exact refusal for an unanswerable question.
13-rag-bm25,13,rag_bm25,unanswerable,"The MUI Button component comes with four variants: text, contained, outlined, and one other. What is this fourth variant?",I don't know,I don't know,"[""prose__buttons__chunk_0002"", ""prose__buttons__chunk_0001"", ""prose__alert__chunk_0005"", ""prose__upgrade-to-v9__chunk_0039__part_003"", ""prose__upgrade-to-v9__chunk_0039__part_001""]",[],1.0,True,2,2,2,Correct exact refusal for an unanswerable question.
